acronym,name,color_hex_triplet,graph_order,identifier,red,green,blue,parent_identifier,count
VAL,Ventral anterior-lateral complex of the thalamus,#FF8084,644.0,MBA:629,255,128,132,MBA:637,0
VM,Ventral medial nucleus of the thalamus,#FF8084,645.0,MBA:685,255,128,132,MBA:637,0
VPL,Ventral posterolateral nucleus of the thalamus,#FF8084,647.0,MBA:718,255,128,132,MBA:709,0
VPLpc,"Ventral posterolateral nucleus of the thalamus, parvicellular part",#FF8084,648.0,MBA:725,255,128,132,MBA:709,0
VPM,Ventral posteromedial nucleus of the thalamus,#FF8084,649.0,MBA:733,255,128,132,MBA:709,0
VPMpc,"Ventral posteromedial nucleus of the thalamus, parvicellular part",#FF8084,650.0,MBA:741,255,128,132,MBA:709,0
PoT,Posterior triangular thalamic nucleus,#FF8084,651.0,MBA:563807435,255,128,132,MBA:637,0
SPFm,"Subparafascicular nucleus, magnocellular part",#FF8084,653.0,MBA:414,255,128,132,MBA:406,0
SPFp,"Subparafascicular nucleus, parvicellular part",#FF8084,654.0,MBA:422,255,128,132,MBA:406,0
SPA,Subparafascicular area,#FF8084,655.0,MBA:609,255,128,132,MBA:864,0
PP,Peripeduncular nucleus,#FF8084,656.0,MBA:1044,255,128,132,MBA:864,0
MG,Medial geniculate complex,#FF8084,658.0,MBA:475,255,128,132,MBA:1008,0
LGd,Dorsal part of the lateral geniculate complex,#FF8084,662.0,MBA:170,255,128,132,MBA:1008,0
LP,Lateral posterior nucleus of the thalamus,#FF909F,668.0,MBA:218,255,144,159,MBA:138,0
PO,Posterior complex of the thalamus,#FF909F,669.0,MBA:1020,255,144,159,MBA:138,0
POL,Posterior limiting nucleus of the thalamus,#FF909F,670.0,MBA:1029,255,144,159,MBA:138,0
SGN,Suprageniculate nucleus,#FF909F,671.0,MBA:325,255,144,159,MBA:138,0
Eth,Ethmoid nucleus of the thalamus,#FF909F,672.0,MBA:560581551,255,144,159,MBA:138,0
AV,Anteroventral nucleus of thalamus,#FF909F,675.0,MBA:255,255,144,159,MBA:239,0
AM,Anteromedial nucleus,#FF909F,676.0,MBA:127,255,144,159,MBA:239,0
AD,Anterodorsal nucleus,#FF909F,679.0,MBA:64,255,144,159,MBA:239,0
IAM,Interanteromedial nucleus of the thalamus,#FF909F,680.0,MBA:1120,255,144,159,MBA:239,0
IAD,Interanterodorsal nucleus of the thalamus,#FF909F,681.0,MBA:1113,255,144,159,MBA:239,0
LD,Lateral dorsal nucleus of thalamus,#FF909F,682.0,MBA:155,255,144,159,MBA:239,0
IMD,Intermediodorsal nucleus of the thalamus,#FF909F,684.0,MBA:59,255,144,159,MBA:444,0
MD,Mediodorsal nucleus of thalamus,#FF909F,685.0,MBA:362,255,144,159,MBA:444,0
SMT,Submedial nucleus of the thalamus,#FF909F,689.0,MBA:366,255,144,159,MBA:444,0
PR,Perireunensis nucleus,#FF909F,690.0,MBA:1077,255,144,159,MBA:444,0
PVT,Paraventricular nucleus of the thalamus,#FF909F,692.0,MBA:149,255,144,159,MBA:571,1
PT,Parataenial nucleus,#FF909F,693.0,MBA:15,255,144,159,MBA:571,0
RE,Nucleus of reuniens,#FF909F,694.0,MBA:181,255,144,159,MBA:571,0
Xi,Xiphoid thalamic nucleus,#FF909F,695.0,MBA:560581559,255,144,159,MBA:571,0
RH,Rhomboid nucleus,#FF909F,697.0,MBA:189,255,144,159,MBA:51,0
CM,Central medial nucleus of the thalamus,#FF909F,698.0,MBA:599,255,144,159,MBA:51,0
PCN,Paracentral nucleus,#FF909F,699.0,MBA:907,255,144,159,MBA:51,0
CL,Central lateral nucleus of the thalamus,#FF909F,700.0,MBA:575,255,144,159,MBA:51,0
PF,Parafascicular nucleus,#FF909F,701.0,MBA:930,255,144,159,MBA:51,0
PIL,Posterior intralaminar thalamic nucleus,#FF909F,702.0,MBA:560581563,255,144,159,MBA:51,0
RT,Reticular nucleus of the thalamus,#FF909F,703.0,MBA:262,255,144,159,MBA:856,0
IGL,Intergeniculate leaflet of the lateral geniculate complex,#FF909F,705.0,MBA:27,255,144,159,MBA:1014,0
IntG,Intermediate geniculate nucleus,#FF909F,706.0,MBA:563807439,255,144,159,MBA:1014,0
LGv,Ventral part of the lateral geniculate complex,#FF909F,707.0,MBA:178,255,144,159,MBA:1014,0
SubG,Subgeniculate nucleus,#FF909F,710.0,MBA:321,255,144,159,MBA:1014,0
MH,Medial habenula,#FF909F,712.0,MBA:483,255,144,159,MBA:958,0
LH,Lateral habenula,#FF909F,713.0,MBA:186,255,144,159,MBA:958,0
SO,Supraoptic nucleus,#FF5D50,717.0,MBA:390,255,93,80,MBA:157,0
ASO,Accessory supraoptic group,#FF5D50,718.0,MBA:332,255,93,80,MBA:157,0
PVH,Paraventricular hypothalamic nucleus,#FF5D50,720.0,MBA:38,255,93,80,MBA:157,0
PVa,"Periventricular hypothalamic nucleus, anterior part",#FF5D50,731.0,MBA:30,255,93,80,MBA:157,0
PVi,"Periventricular hypothalamic nucleus, intermediate part",#FF5D50,732.0,MBA:118,255,93,80,MBA:157,0
ARH,Arcuate hypothalamic nucleus,#FF5D50,733.0,MBA:223,255,93,80,MBA:157,0
ADP,Anterodorsal preoptic nucleus,#FF5547,735.0,MBA:72,255,85,71,MBA:141,0
AVP,Anteroventral preoptic nucleus,#FF5547,737.0,MBA:263,255,85,71,MBA:141,0
AVPV,Anteroventral periventricular nucleus,#FF5547,738.0,MBA:272,255,85,71,MBA:141,0
DMH,Dorsomedial nucleus of the hypothalamus,#FF5547,739.0,MBA:830,255,85,71,MBA:141,0
MEPO,Median preoptic nucleus,#FF5547,743.0,MBA:452,255,85,71,MBA:141,0
MPO,Medial preoptic area,#FF5547,744.0,MBA:523,255,85,71,MBA:141,0
OV,Vascular organ of the lamina terminalis,#FF5547,745.0,MBA:763,255,85,71,MBA:141,0
PD,Posterodorsal preoptic nucleus,#FF5547,746.0,MBA:914,255,85,71,MBA:141,0
PS,Parastrial nucleus,#FF5547,747.0,MBA:1109,255,85,71,MBA:141,0
PVp,"Periventricular hypothalamic nucleus, posterior part",#FF5547,749.0,MBA:126,255,85,71,MBA:141,0
PVpo,"Periventricular hypothalamic nucleus, preoptic part",#FF5547,750.0,MBA:133,255,85,71,MBA:141,0
SBPV,Subparaventricular zone,#FF5547,751.0,MBA:347,255,85,71,MBA:141,0
SCH,Suprachiasmatic nucleus,#FF5547,752.0,MBA:286,255,85,71,MBA:141,0
SFO,Subfornical organ,#FF5547,753.0,MBA:338,255,85,71,MBA:141,0
VMPO,Ventromedial preoptic nucleus,#FF5547,754.0,MBA:576073699,255,85,71,MBA:141,0
VLPO,Ventrolateral preoptic nucleus,#FF5547,755.0,MBA:689,255,85,71,MBA:141,0
AHN,Anterior hypothalamic nucleus,#FF4C3E,757.0,MBA:88,255,76,62,MBA:467,0
LM,Lateral mammillary nucleus,#FF4C3E,763.0,MBA:210,255,76,62,MBA:331,0
MM,Medial mammillary nucleus,#FF4C3E,764.0,MBA:491,255,76,62,MBA:331,1
SUM,Supramammillary nucleus,#FF4C3E,770.0,MBA:525,255,76,62,MBA:331,0
TMd,"Tuberomammillary nucleus, dorsal part",#FF4C3E,774.0,MBA:1126,255,76,62,MBA:557,0
TMv,"Tuberomammillary nucleus, ventral part",#FF4C3E,775.0,MBA:1,255,76,62,MBA:557,0
MPN,Medial preoptic nucleus,#FF4C3E,776.0,MBA:515,255,76,62,MBA:467,0
PMd,Dorsal premammillary nucleus,#FF4C3E,780.0,MBA:980,255,76,62,MBA:467,0
PMv,Ventral premammillary nucleus,#FF4C3E,781.0,MBA:1004,255,76,62,MBA:467,0
PVHd,"Paraventricular hypothalamic nucleus, descending division",#FF4C3E,782.0,MBA:63,255,76,62,MBA:467,0
VMH,Ventromedial hypothalamic nucleus,#FF4C3E,787.0,MBA:693,255,76,62,MBA:467,0
PH,Posterior hypothalamic nucleus,#FF4C3E,792.0,MBA:946,255,76,62,MBA:467,0
LHA,Lateral hypothalamic area,#F2483B,794.0,MBA:194,242,72,59,MBA:290,0
LPO,Lateral preoptic area,#F2483B,795.0,MBA:226,242,72,59,MBA:290,0
PST,Preparasubthalamic nucleus,#F2483B,796.0,MBA:356,242,72,59,MBA:290,0
PSTN,Parasubthalamic nucleus,#F2483B,797.0,MBA:364,242,72,59,MBA:290,0
PeF,Perifornical nucleus,#F2483B,798.0,MBA:576073704,242,72,59,MBA:290,0
RCH,Retrochiasmatic area,#F2483B,799.0,MBA:173,242,72,59,MBA:290,0
STN,Subthalamic nucleus,#F2483B,800.0,MBA:470,242,72,59,MBA:290,0
TU,Tuberal nucleus,#F2483B,801.0,MBA:614,242,72,59,MBA:290,1
ZI,Zona incerta,#F2483B,802.0,MBA:797,242,72,59,MBA:290,0
ME,Median eminence,#F2483B,805.0,MBA:10671,242,72,59,MBA:1097,0
SCs,"Superior colliculus, sensory related",#FF7AFF,808.0,MBA:302,255,122,255,MBA:339,0
IC,Inferior colliculus,#FF7AFF,812.0,MBA:4,255,122,255,MBA:339,0
NB,Nucleus of the brachium of the inferior colliculus,#FF7AFF,816.0,MBA:580,255,122,255,MBA:339,0
SAG,Nucleus sagulum,#FF7AFF,817.0,MBA:271,255,122,255,MBA:339,0
PBG,Parabigeminal nucleus,#FF7AFF,818.0,MBA:874,255,122,255,MBA:339,0
MEV,Midbrain trigeminal nucleus,#FF7AFF,819.0,MBA:460,255,122,255,MBA:339,0
SCO,Subcommissural organ,#FF7AFF,820.0,MBA:599626923,255,122,255,MBA:339,0
SNr,"Substantia nigra, reticular part",#FF90FF,822.0,MBA:381,255,144,255,MBA:323,0
VTA,Ventral tegmental area,#FF90FF,823.0,MBA:749,255,144,255,MBA:323,0
PN,Paranigral nucleus,#FF90FF,824.0,MBA:607344830,255,144,255,MBA:323,0
RR,"Midbrain reticular nucleus, retrorubral area",#FF90FF,825.0,MBA:246,255,144,255,MBA:323,0
MRN,Midbrain reticular nucleus,#FF90FF,826.0,MBA:128,255,144,255,MBA:323,0
SCm,"Superior colliculus, motor related",#FF90FF,830.0,MBA:294,255,144,255,MBA:323,0
PAG,Periaqueductal gray,#FF90FF,838.0,MBA:795,255,144,255,MBA:323,0
APN,Anterior pretectal nucleus,#FF90FF,844.0,MBA:215,255,144,255,MBA:1100,0
MPT,Medial pretectal area,#FF90FF,845.0,MBA:531,255,144,255,MBA:1100,0
NOT,Nucleus of the optic tract,#FF90FF,846.0,MBA:628,255,144,255,MBA:1100,0
NPC,Nucleus of the posterior commissure,#FF90FF,847.0,MBA:634,255,144,255,MBA:1100,0
OP,Olivary pretectal nucleus,#FF90FF,848.0,MBA:706,255,144,255,MBA:1100,0
PPT,Posterior pretectal nucleus,#FF90FF,849.0,MBA:1061,255,144,255,MBA:1100,0
RPF,Retroparafascicular nucleus,#FF90FF,850.0,MBA:549009203,255,144,255,MBA:1100,0
CUN,Cuneiform nucleus,#FF90FF,852.0,MBA:616,255,144,255,MBA:323,0
RN,Red nucleus,#FF90FF,853.0,MBA:214,255,144,255,MBA:323,0
III,Oculomotor nucleus,#FF90FF,854.0,MBA:35,255,144,255,MBA:323,0
MA3,Medial accesory oculomotor nucleus,#FF90FF,855.0,MBA:549009211,255,144,255,MBA:323,0
EW,Edinger-Westphal nucleus,#FF90FF,856.0,MBA:975,255,144,255,MBA:323,0
IV,Trochlear nucleus,#FF90FF,857.0,MBA:115,255,144,255,MBA:323,0
Pa4,Paratrochlear nucleus,#FF90FF,858.0,MBA:606826663,255,144,255,MBA:323,0
VTN,Ventral tegmental nucleus,#FF90FF,859.0,MBA:757,255,144,255,MBA:323,0
AT,Anterior tegmental nucleus,#FF90FF,860.0,MBA:231,255,144,255,MBA:323,0
LT,Lateral terminal nucleus of the accessory optic tract,#FF90FF,861.0,MBA:66,255,144,255,MBA:323,0
DT,Dorsal terminal nucleus of the accessory optic tract,#FF90FF,862.0,MBA:75,255,144,255,MBA:323,0
MT,Medial terminal nucleus of the accessory optic tract,#FF90FF,863.0,MBA:58,255,144,255,MBA:323,0
SNc,"Substantia nigra, compact part",#FFA6FF,866.0,MBA:374,255,166,255,MBA:348,0
PPN,Pedunculopontine nucleus,#FFA6FF,867.0,MBA:1052,255,166,255,MBA:348,0
IF,Interfascicular nucleus raphe,#FFA6FF,869.0,MBA:12,255,166,255,MBA:165,0
IPN,Interpeduncular nucleus,#FFA6FF,870.0,MBA:100,255,166,255,MBA:165,0
RL,Rostral linear nucleus raphe,#FFA6FF,879.0,MBA:197,255,166,255,MBA:165,0
CLI,Central linear nucleus raphe,#FFA6FF,880.0,MBA:591,255,166,255,MBA:165,0
DR,Dorsal nucleus raphe,#FFA6FF,881.0,MBA:872,255,166,255,MBA:165,0
NLL,Nucleus of the lateral lemniscus,#FFAE6F,885.0,MBA:612,255,174,111,MBA:1132,0
PSV,Principal sensory nucleus of the trigeminal,#FFAE6F,889.0,MBA:7,255,174,111,MBA:1132,0
PB,Parabrachial nucleus,#FFAE6F,890.0,MBA:867,255,174,111,MBA:1132,0
SOC,Superior olivary complex,#FFAE6F,902.0,MBA:398,255,174,111,MBA:1132,0
B,Barrington's nucleus,#FFBA86,907.0,MBA:280,255,186,134,MBA:987,0
DTN,Dorsal tegmental nucleus,#FFBA86,908.0,MBA:880,255,186,134,MBA:987,0
PDTg,Posterodorsal tegmental nucleus,#FFBA86,910.0,MBA:599626927,255,186,134,MBA:987,0
PCG,Pontine central gray,#FFBA86,911.0,MBA:898,255,186,134,MBA:987,0
PG,Pontine gray,#FFBA86,912.0,MBA:931,255,186,134,MBA:987,0
PRNc,"Pontine reticular nucleus, caudal part",#FFBA86,913.0,MBA:1093,255,186,134,MBA:987,0
SG,Supragenual nucleus,#FFBA86,915.0,MBA:318,255,186,134,MBA:987,0
SUT,Supratrigeminal nucleus,#FFBA86,917.0,MBA:534,255,186,134,MBA:987,0
TRN,Tegmental reticular nucleus,#FFBA86,918.0,MBA:574,255,186,134,MBA:987,1
V,Motor nucleus of trigeminal,#FFBA86,919.0,MBA:621,255,186,134,MBA:987,0
P5,Peritrigeminal zone,#FFBA86,920.0,MBA:549009215,255,186,134,MBA:987,0
Acs5,Accessory trigeminal nucleus,#FFBA86,921.0,MBA:549009219,255,186,134,MBA:987,0
PC5,Parvicellular motor 5 nucleus,#FFBA86,922.0,MBA:549009223,255,186,134,MBA:987,0
I5,Intertrigeminal nucleus,#FFBA86,923.0,MBA:549009227,255,186,134,MBA:987,0
CS,Superior central nucleus raphe,#FFC395,925.0,MBA:679,255,195,149,MBA:1117,1
LC,Locus ceruleus,#FFC395,928.0,MBA:147,255,195,149,MBA:1117,0
LDT,Laterodorsal tegmental nucleus,#FFC395,929.0,MBA:162,255,195,149,MBA:1117,0
NI,Nucleus incertus,#FFC395,930.0,MBA:604,255,195,149,MBA:1117,0
PRNr,Pontine reticular nucleus,#FFC395,931.0,MBA:146,255,195,149,MBA:1117,0
RPO,Nucleus raphe pontis,#FFC395,932.0,MBA:238,255,195,149,MBA:1117,0
SLC,Subceruleus nucleus,#FFC395,933.0,MBA:350,255,195,149,MBA:1117,0
SLD,Sublaterodorsal nucleus,#FFC395,934.0,MBA:358,255,195,149,MBA:1117,0
AP,Area postrema,#FFA5D2,937.0,MBA:207,255,165,210,MBA:386,0
DCO,Dorsal cochlear nucleus,#FFA5D2,941.0,MBA:96,255,165,210,MBA:607,0
VCO,Ventral cochlear nucleus,#FFA5D2,942.0,MBA:101,255,165,210,MBA:607,0
CU,Cuneate nucleus,#FFA5D2,944.0,MBA:711,255,165,210,MBA:720,0
GR,Gracile nucleus,#FFA5D2,945.0,MBA:1039,255,165,210,MBA:720,0
ECU,External cuneate nucleus,#FFA5D2,946.0,MBA:903,255,165,210,MBA:386,0
NTB,Nucleus of the trapezoid body,#FFA5D2,947.0,MBA:642,255,165,210,MBA:386,0
NTS,Nucleus of the solitary tract,#FFA5D2,948.0,MBA:651,255,165,210,MBA:386,1
SPVC,"Spinal nucleus of the trigeminal, caudal part",#FFA5D2,954.0,MBA:429,255,165,210,MBA:386,0
SPVI,"Spinal nucleus of the trigeminal, interpolar part",#FFA5D2,955.0,MBA:437,255,165,210,MBA:386,0
SPVO,"Spinal nucleus of the trigeminal, oral part",#FFA5D2,956.0,MBA:445,255,165,210,MBA:386,0
Pa5,Paratrigeminal nucleus,#FFA5D2,962.0,MBA:589508451,255,165,210,MBA:386,0
VI,Abducens nucleus,#FFB3D9,965.0,MBA:653,255,179,217,MBA:370,0
VII,Facial motor nucleus,#FFB3D9,967.0,MBA:661,255,179,217,MBA:370,0
ACVII,Accessory facial motor nucleus,#FFB3D9,968.0,MBA:576,255,179,217,MBA:370,0
AMB,Nucleus ambiguus,#FFB3D9,970.0,MBA:135,255,179,217,MBA:370,0
DMX,Dorsal motor nucleus of the vagus nerve,#FFB3D9,973.0,MBA:839,255,179,217,MBA:370,0
GRN,Gigantocellular reticular nucleus,#FFB3D9,975.0,MBA:1048,255,179,217,MBA:370,0
ICB,Infracerebellar nucleus,#FFB3D9,976.0,MBA:372,255,179,217,MBA:370,0
IO,Inferior olivary complex,#FFB3D9,977.0,MBA:83,255,179,217,MBA:370,0
IRN,Intermediate reticular nucleus,#FFB3D9,978.0,MBA:136,255,179,217,MBA:370,0
ISN,Inferior salivatory nucleus,#FFB3D9,979.0,MBA:106,255,179,217,MBA:370,0
LIN,Linear nucleus of the medulla,#FFB3D9,980.0,MBA:203,255,179,217,MBA:370,0
LRN,Lateral reticular nucleus,#FFB3D9,981.0,MBA:235,255,179,217,MBA:370,0
MARN,Magnocellular reticular nucleus,#FFB3D9,984.0,MBA:307,255,179,217,MBA:370,0
MDRN,Medullary reticular nucleus,#FFB3D9,985.0,MBA:395,255,179,217,MBA:370,0
PARN,Parvicellular reticular nucleus,#FFB3D9,988.0,MBA:852,255,179,217,MBA:370,0
PAS,Parasolitary nucleus,#FFB3D9,989.0,MBA:859,255,179,217,MBA:370,0
PGRNd,"Paragigantocellular reticular nucleus, dorsal part",#FFB3D9,991.0,MBA:970,255,179,217,MBA:938,0
PGRNl,"Paragigantocellular reticular nucleus, lateral part",#FFB3D9,992.0,MBA:978,255,179,217,MBA:938,0
NR,Nucleus of Roller,#FFB3D9,995.0,MBA:177,255,179,217,MBA:154,0
PRP,Nucleus prepositus,#FFB3D9,996.0,MBA:169,255,179,217,MBA:154,0
PPY,Parapyramidal nucleus,#FFB3D9,998.0,MBA:1069,255,179,217,MBA:370,0
LAV,Lateral vestibular nucleus,#FFB3D9,1002.0,MBA:209,255,179,217,MBA:701,0
MV,Medial vestibular nucleus,#FFB3D9,1003.0,MBA:202,255,179,217,MBA:701,0
